Name;intervals_id;weight;FTP;carrera;biela
Carlos Garcia;i495562;62;380;2;165
Lorenzo Quartucci;i545517;64;390;1;170
Sinuhe Fernandez;i545516;60;373;0;170   
Ander Okamika;i546414;70;414;0;175
Adrian Fajardo;i547906;63;350;2;170
Jose Luis Faura;i547904;67;390;0;170
Jose Manuel Diaz;i547157;64;380;0;170
Alex Mayer;i93850;66;348;0;165  
Eric Fagundez;i553889;67;404;2;170
Georgios Bouglas;i554492;71;375;1;172.5
Cesar Macias;i281806;57;329;2;165
Martin Rey;i554086;65;380;0;175
Mario Aparicio;i554068;71;440;0;172.5
Vojtěch Kmínek;i554486;75;327;1;172.5
Daniel Cavia;i701963;65.5;360;1;170
